day,tier_hhi,entity_hhi,total_volume
2023-02-01 00:00:00+00:00,4715.038131227431,3270.8412857197677,5194757538.372315
2023-02-02 00:00:00+00:00,4319.760215226925,2468.147042929614,4190274826.9778533
2023-02-03 00:00:00+00:00,6391.191285217214,3424.1472212663734,15552765823.71635
2023-02-04 00:00:00+00:00,4157.482512734141,2539.08287464681,1820056547.891341
2023-02-05 00:00:00+00:00,3775.6379794746044,2370.14075161881,1636378152.9688358
2023-02-06 00:00:00+00:00,4442.83297318611,2409.334930041616,4693135300.49054
2023-02-07 00:00:00+00:00,5970.951030790094,2749.940992094637,9625330738.231298
2023-02-08 00:00:00+00:00,4451.34344750534,2330.450500958689,5663076356.155247
2023-02-09 00:00:00+00:00,4847.201008445742,2471.3982494523643,6229887773.982204
2023-02-10 00:00:00+00:00,8223.528024233701,4361.126891344443,34699267196.94945
2023-02-11 00:00:00+00:00,3944.671470738399,2327.38576720271,1900461802.8742948
2023-02-12 00:00:00+00:00,4609.030964564282,3025.416603977778,2095821653.578253
2023-02-13 00:00:00+00:00,4192.379656806424,2682.6256019687667,13628844620.428682
2023-02-14 00:00:00+00:00,6595.363340063537,3444.143714004434,21714288530.40037
2023-02-15 00:00:00+00:00,4934.69038941587,2489.0211051996403,8713947069.212568
2023-02-16 00:00:00+00:00,4542.587698207901,2205.326303646264,5828282637.522761
2023-02-17 00:00:00+00:00,4497.960872758194,2313.7895352443174,4811052709.493712
2023-02-18 00:00:00+00:00,3566.5361296490155,2127.879261475968,2854014029.562126
2023-02-19 00:00:00+00:00,5618.517715891582,3652.018043459426,1630769609.064276
2023-02-20 00:00:00+00:00,4507.080265982118,2405.6071741304595,2462157233.8054
2023-02-21 00:00:00+00:00,4661.890251713987,2313.9291269021887,3615372168.53879
2023-02-22 00:00:00+00:00,4684.36943203944,2461.4029280225905,4607974439.201801
2023-02-23 00:00:00+00:00,4934.5932422062515,3204.319753202107,7182723644.372324
2023-02-24 00:00:00+00:00,4645.498368230597,2565.183927457023,5248262100.8562155
2023-02-25 00:00:00+00:00,4477.835096090022,2502.617021142853,1737966514.0853841
2023-02-26 00:00:00+00:00,4437.647921060996,2078.834071086768,1352186489.19325
2023-02-27 00:00:00+00:00,4450.908037052246,2379.429211564912,3929774395.42117
2023-02-28 00:00:00+00:00,5261.016520643724,3878.579492156314,5134126146.316518
2023-03-01 00:00:00+00:00,4465.221566169833,2940.5539965809617,4747711229.200905
2023-03-02 00:00:00+00:00,4435.832631880999,2784.517927971789,7599832504.520428
2023-03-03 00:00:00+00:00,4914.866210091971,2897.893471477627,12017791508.249691
2023-03-04 00:00:00+00:00,7992.982485748698,3892.963742381268,13949342552.335657
2023-03-05 00:00:00+00:00,4294.1730745418745,2778.293953937105,1656149148.323597
2023-03-06 00:00:00+00:00,4575.418977881216,2410.63907326241,6255139849.165688
2023-03-07 00:00:00+00:00,4513.644382052325,2304.958773731605,7368871847.648251
2023-03-08 00:00:00+00:00,4514.536239274602,2716.3230606171014,4037251007.33316
2023-03-09 00:00:00+00:00,4573.460897958565,2549.14504802868,4938756520.493616
2023-03-10 00:00:00+00:00,4672.402456808345,2410.31416301085,18837544366.246773
2023-03-11 00:00:00+00:00,3352.005010791154,1864.8029588903719,28352371031.908875
2023-03-12 00:00:00+00:00,4398.018116735921,3059.1047236672252,12477787382.713478
2023-03-13 00:00:00+00:00,4219.17554734797,2175.8474389288585,19107859838.384674
2023-03-14 00:00:00+00:00,4498.865655745456,2303.190139208991,19406151001.600037
2023-03-15 00:00:00+00:00,4286.398217513776,2370.291990594131,15094039555.34191
2023-03-16 00:00:00+00:00,4699.585225777088,2308.8486415948864,16016823459.345865
2023-03-17 00:00:00+00:00,4409.794327874025,2558.4975599295713,11341731361.70169
2023-03-18 00:00:00+00:00,5332.731619478339,4173.9175788919965,3885210698.231276
2023-03-19 00:00:00+00:00,4724.535723135865,2696.2741274039777,1951297819.775481
2023-03-20 00:00:00+00:00,4683.318465390545,2872.1461767805326,11116767908.927605
2023-03-21 00:00:00+00:00,5081.772850363895,3167.152038118244,7752062468.590281
2023-03-22 00:00:00+00:00,4666.06969226495,2745.1386841080075,8870259101.575914
2023-03-23 00:00:00+00:00,4747.537746271402,2517.281016521298,8529491948.51375
2023-03-24 00:00:00+00:00,4947.4961574482495,2178.7488237359075,11383500361.602238
2023-03-25 00:00:00+00:00,5212.073495769755,2449.615422513984,1711598122.383385
2023-03-26 00:00:00+00:00,4596.827022766929,2852.886060683436,1496411276.827571
2023-03-27 00:00:00+00:00,4473.793141481644,2191.7328160485813,7245379331.1879015
2023-03-28 00:00:00+00:00,4393.6968546193,2377.5539729809366,4237597602.0738378
2023-03-29 00:00:00+00:00,4622.236402571702,2594.0379332748903,3011655646.0227146
2023-03-30 00:00:00+00:00,4586.50880669864,2554.4531118907985,5286409543.600464
2023-03-31 00:00:00+00:00,4585.332433126996,2772.7297877735737,5097118557.641805
2023-04-01 00:00:00+00:00,4998.937192929445,3117.257364742112,1168930577.60065
2023-04-02 00:00:00+00:00,4944.877098556935,3325.3797236505743,1067776150.3463831
2023-04-03 00:00:00+00:00,4542.339572082148,2553.0606714615174,4482845315.21134
2023-04-04 00:00:00+00:00,4649.351928406732,2439.3826739144465,3986596343.289491
2023-04-05 00:00:00+00:00,4928.058348233199,2986.3844871374463,3249781747.2081223
2023-04-06 00:00:00+00:00,4605.058938332768,2668.0632862604684,3053519217.9962683
2023-04-07 00:00:00+00:00,4484.678313427242,2001.6280857124166,1698964474.6468651
2023-04-08 00:00:00+00:00,5050.374138888869,3667.129484595324,1203823596.823212
2023-04-09 00:00:00+00:00,5150.523498306504,3223.063445133166,950920622.8709929
2023-04-10 00:00:00+00:00,4688.333935810955,2464.600001058841,4223471165.9143214
2023-04-11 00:00:00+00:00,4913.32474108674,2523.3825927342464,3778143917.457029
2023-04-12 00:00:00+00:00,4878.806925791983,2853.9769549404446,5572852920.634072
2023-04-13 00:00:00+00:00,4520.274036408891,2537.1028223711737,4027132496.249618
2023-04-14 00:00:00+00:00,4397.397546812533,2377.1893552528163,4135925719.505876
2023-04-15 00:00:00+00:00,5400.663373152112,2771.5246175176376,1677475114.5852518
2023-04-16 00:00:00+00:00,4944.574625981687,2883.220619334329,1003480887.38949
2023-04-17 00:00:00+00:00,4271.048283788004,2503.677603234616,4533670473.956875
2023-04-18 00:00:00+00:00,4517.970692153073,2254.330258183729,3677799935.807822
2023-04-19 00:00:00+00:00,4533.739993137522,2268.624040736114,4024984400.528534
2023-04-20 00:00:00+00:00,5162.410680950084,2158.030050268722,6235138294.620477
2023-04-21 00:00:00+00:00,4378.262561615811,2329.9325792531663,4883093635.381886
2023-04-22 00:00:00+00:00,4272.788961309311,2278.7390390595124,1234776863.937632
2023-04-23 00:00:00+00:00,6705.513859105382,3201.079138532642,1635456849.2735817
2023-04-24 00:00:00+00:00,4286.108935642652,2157.4787295109854,2714794267.163004
2023-04-25 00:00:00+00:00,4734.723720230108,2632.751890934088,2830057234.468382
2023-04-26 00:00:00+00:00,4415.987871848441,2367.617844875187,4101953548.1420975
2023-04-27 00:00:00+00:00,4364.942446648968,2368.111687787834,4251343322.664058
2023-04-28 00:00:00+00:00,4387.997691847564,2161.4954101066432,3597288995.390739
2023-04-29 00:00:00+00:00,4506.277092961602,2620.706727590855,1747670050.603077
2023-04-30 00:00:00+00:00,4924.110880993653,2967.6223209777563,879020420.337673
2023-05-01 00:00:00+00:00,4294.640286182869,2319.2334994820058,2603235187.8514943
2023-05-02 00:00:00+00:00,4501.427928491474,2188.118135265586,3679938783.8080955
2023-05-03 00:00:00+00:00,4449.022855104434,2323.1524823378513,3512468599.964452
2023-05-04 00:00:00+00:00,4760.654013674941,2467.670574178028,2745791080.396093
2023-05-05 00:00:00+00:00,4629.080578263622,2528.380588283295,4127883731.1100893
2023-05-06 00:00:00+00:00,6115.4993337013675,4134.933734790759,1692860037.440262
2023-05-07 00:00:00+00:00,6023.020597650002,3624.7148980674583,898556369.734661
2023-05-08 00:00:00+00:00,4497.780127646642,2159.5316832439808,3544780242.25127
2023-05-09 00:00:00+00:00,4649.460864616372,2344.0714158492806,3227276726.682377
2023-05-10 00:00:00+00:00,4603.650129651704,2557.9870761846614,2801173180.055602
2023-05-11 00:00:00+00:00,4469.292033026772,2302.707072815341,3163260396.9176407
2023-05-12 00:00:00+00:00,4543.678747257942,2472.6172443525293,3007029261.454533
2023-05-13 00:00:00+00:00,4865.324476035634,3213.6698672086272,776987368.421031
2023-05-14 00:00:00+00:00,6609.514289520427,3311.2429060079407,598549836.1753299
2023-05-15 00:00:00+00:00,4856.294631982774,2496.721710126739,3726411256.517494
2023-05-16 00:00:00+00:00,4844.029891101717,2510.99387631993,3449010021.9412026
2023-05-17 00:00:00+00:00,4597.794744806913,2449.5133607434536,3375132458.443187
2023-05-18 00:00:00+00:00,4564.116541901001,2707.0760991689217,2492619249.45614
2023-05-19 00:00:00+00:00,4661.4685043571635,2948.0303265386606,2882978625.86028
2023-05-20 00:00:00+00:00,5710.801686122243,2655.1559806792984,821043248.789378
2023-05-21 00:00:00+00:00,7185.172167384371,2717.555571271702,1360228979.2375898
2023-05-22 00:00:00+00:00,4611.899753887726,2127.9894616084,2884174871.8092475
2023-05-23 00:00:00+00:00,4497.451247135549,2395.018067736029,3263201877.048427
2023-05-24 00:00:00+00:00,5386.908708003212,2598.5575795258374,6922549185.106778
2023-05-25 00:00:00+00:00,4506.690847098843,1985.9018939239293,3312975218.407601
2023-05-26 00:00:00+00:00,4597.828160090677,2130.91894250858,2896703766.931325
2023-05-27 00:00:00+00:00,6176.340391624003,3987.0148737190943,886968334.4830259
2023-05-28 00:00:00+00:00,5486.696828531508,2863.8828893831187,849425560.8469989
2023-05-29 00:00:00+00:00,4975.971635429015,2540.3410434655284,2102009725.1911461
2023-05-30 00:00:00+00:00,4794.493838396884,2529.1554749523666,3150357811.318955
2023-05-31 00:00:00+00:00,4871.0559860847925,2541.7087757358313,3688875806.687652
2023-06-01 00:00:00+00:00,4754.538329864893,2705.8512793862474,2644957380.593027
2023-06-02 00:00:00+00:00,4682.850030745035,2452.6323826237767,2544363553.1785893
2023-06-03 00:00:00+00:00,6619.3632655437905,3564.506230074776,815810109.382975
2023-06-04 00:00:00+00:00,6216.998977951395,3633.2283980140223,635655103.07968
2023-06-05 00:00:00+00:00,4677.682244462817,2537.017096540177,4499180251.904208
2023-06-06 00:00:00+00:00,4524.749586998712,2415.9454290490085,5014431366.401524
2023-06-07 00:00:00+00:00,4564.592562871637,2535.230987568691,4173123671.722736
2023-06-08 00:00:00+00:00,4381.321806367966,2423.2218714871065,2897410521.231501
2023-06-09 00:00:00+00:00,4285.0704196176375,2131.842365792177,2928198317.60662
2023-06-10 00:00:00+00:00,4427.872519862157,2874.9286627874408,3178399168.85969
2023-06-11 00:00:00+00:00,4461.654895667057,2877.9220855505423,1576992414.23627
2023-06-12 00:00:00+00:00,6320.38276937252,2687.831210286258,7903291569.077388
2023-06-13 00:00:00+00:00,4545.208033771854,2046.1804318339173,3464224976.213137
2023-06-14 00:00:00+00:00,4287.534042695582,1954.6028339011866,3718689666.39949
2023-06-15 00:00:00+00:00,3603.636469261548,1556.5692289898595,8400740842.694762
2023-06-16 00:00:00+00:00,6367.810460483614,2640.6958461650897,9299564239.42847
2023-06-17 00:00:00+00:00,6416.144287482566,4422.397710130731,3132471634.728325
2023-06-18 00:00:00+00:00,4504.435798574575,1808.0251257526752,1198847402.780584
2023-06-19 00:00:00+00:00,4596.164662518192,2313.132101210831,3071568855.2899117
