,spread,growth
2023-02-08,2.8554899999999996,-0.18144093098584335
2023-02-15,2.7703800000000003,-0.14552130701801502
2023-02-22,2.66239,-0.6826090280604546
2023-03-01,2.4533500000000004,-0.7900281023378142
2023-03-08,2.9854399999999996,-0.12017100942038894
2023-03-15,3.03932,-1.908125988722631
2023-03-22,2.8420699999999997,0.028153813873643685
2023-03-29,3.4042399999999997,-0.5317854816063061
2023-04-05,2.78822,-0.425345076416761
2023-04-12,2.99498,-0.1382181467828758
2023-04-19,2.61666,-0.5160326193244913
2023-04-26,2.06937,-0.5180401639954368
2023-05-03,2.2630399999999997,-0.43737265700833916
2023-05-10,2.51593,0.15206201818074305
2023-05-17,2.5894899999999996,-0.25998034649745705
2023-05-24,3.12977,-0.315324643749193
2023-05-31,2.56372,-0.27919426013305326
2023-06-07,2.7546500000000003,-0.3928891377725563
2023-06-14,3.29254,-0.6801209772348216
2023-06-21,2.4688200000000005,-0.27413756397791644
2023-06-28,2.7262799999999996,-0.3496455949957067
2023-07-05,2.6079499999999998,-0.44498749710868424
2023-07-12,2.48524,-0.46786939337835065
2023-07-19,0.4186499999999995,-0.017477285950562305
2023-07-26,2.4835700000000003,-0.4908375200699311
2023-08-02,-8.77924,-0.4346487752098227
2023-08-09,-3.6031299999999993,-0.5653820957569167
2023-08-16,2.45877,-0.6696412073353031
2023-08-23,2.91409,0.49303688823023606
2023-08-30,2.48694,0.25903156468309874
2023-09-06,2.5040899999999997,-0.4780703692770061
2023-09-13,1.1776399999999994,0.07305934570531747
2023-09-20,2.50812,0.039114289157282656
2023-09-27,2.5075,-0.4221216089959512
2023-10-04,2.62132,-0.13877056300692914
2023-10-11,1.8560399999999997,0.1541530508092137
2023-10-18,2.55549,0.009813075353548584
2023-10-25,2.57784,0.20472357307710354
2023-11-01,-1.3654000000000002,0.04040821534090355
2023-11-08,0.27529000000000003,0.6622752557756684
2023-11-15,-3.0648999999999997,0.4635720444365887
2023-11-22,0.8120799999999999,1.207974110093346
2023-11-29,1.2062,0.7351915012918653
2023-12-06,-2.0119100000000003,0.484525522883672
2023-12-13,-3.962909999999999,0.1467079883180844
2023-12-20,1.21589,0.6296544117276426
2023-12-27,-1.29622,0.3209936623026266
2024-01-03,-6.216279999999999,0.6369212363253496
2024-01-10,-2.5650999999999993,1.8433706590403887
2024-01-17,0.3981400000000006,0.455447856821678
2024-01-24,0.3996699999999995,0.23874529412530876
2024-01-31,0.43391,1.0298969434753502
2024-02-07,-1.4385699999999995,0.4226504991176938
2024-02-14,-1.7463299999999995,0.9109534524924356
2024-02-21,-1.4807899999999998,1.0081521311686714
2024-02-28,-7.4070599999999995,0.8567349695809412
2024-03-06,-6.38157,1.7704025195843798
2024-03-13,-7.44946,2.67823355859349
2024-03-20,0.4850599999999998,1.5735581275738042
2024-03-27,-7.058460000000001,2.0885771326501157
2024-04-03,-1.18959,1.494588813138975
2024-04-10,-4.39747,1.1812673104401483
2024-04-17,-2.24939,1.5160263072427682
