date,sc_B,dep_B,sc_B_idx,dep_B_idx
2019-01-02,0.283027219,12468.2108,0.2162521048104956,70.38515161700575
2019-01-09,0.34966897,12468.2193,0.267170949199123,70.38519960093852
2019-01-16,0.381551804,12441.0657,0.29153160957724594,70.23191295190723
2019-01-23,0.35480844,12505.6674,0.2710978549187824,70.59660043771846
2019-01-30,0.339210003,12459.495,0.2591795848494859,70.33594945686393
2019-02-06,0.313628339,12511.4683,0.23963344824785085,70.62934749602255
2019-02-13,0.283373151,12490.0573,0.2165164204596604,70.50847879196824
2019-02-20,0.269515772,12502.1403,0.2059284374858152,70.57668936368783
2019-02-27,0.288532911,12519.2438,0.22045882912360243,70.67324150416667
2019-03-06,0.297472788,12547.4651,0.22728950507352558,70.83255549967026
2019-03-13,0.298838992,12534.9085,0.2283333781386124,70.7616713761203
2019-03-20,0.298319649,12569.6852,0.22793656465450507,70.95799170960706
2019-03-27,0.303780702,12615.5167,0.23210918172612205,71.21671825249922
2019-04-03,0.316660266,12617.339,0.24195004732866848,71.22700544316749
2019-04-10,0.353659154,12615.7027,0.27021972200489736,71.21776825385152
2019-04-17,0.442563704,12613.4386,0.33814886370603514,71.20498702771312
2019-04-24,0.578080637,12626.3133,0.44169304614282373,71.27766687938225
2019-05-01,0.703018596,12679.342,0.5371541706945135,71.57702282943988
2019-05-08,0.717724313,12661.6177,0.5483903417781063,71.47696616831853
2019-05-15,0.677745686,12720.3306,0.5178439432135792,71.80841038550916
2019-05-22,0.761187876,12668.834,0.5815994692059301,71.5177033982035
2019-05-29,0.897154137,12679.209,0.6854869688900619,71.5762720220213
2019-06-05,0.92887252,12719.6715,0.7097219774845372,71.80468965491077
2019-06-12,1.064798811,12739.7871,0.813578937361721,71.91824560761148
2019-06-19,1.231698137,12764.4953,0.9411014091101116,72.05772756144428
2019-06-26,1.316330259,12812.7513,1.0057661243334155,72.330140815512
2019-07-03,1.434181453,12795.1037,1.0958124769315027,72.23051713881924
2019-07-10,1.713801314,12749.473,1.3094611277634505,71.97292414577407
2019-07-17,1.885405388,12780.0686,1.44057834796465,72.14564146499146
2019-07-24,1.938695068,12811.1981,1.481295299166003,72.32137273970342
2019-07-31,1.96755372,12828.1527,1.5033452781717103,72.41708431458359
2019-08-07,2.057263125,12837.0064,1.5718893840039736,72.46706494346992
