date_utc,hhi_B,top5_share_B
2023-02-01 00:00:00+00:00,0.47150381312274314,0.9141923459915666
2023-02-02 00:00:00+00:00,0.4319760215226925,0.8732747872164099
2023-02-03 00:00:00+00:00,0.6391191285217214,0.9622730070647944
2023-02-04 00:00:00+00:00,0.4157482512734141,0.8744483754069341
2023-02-05 00:00:00+00:00,0.3775637979474605,0.7346769503537709
2023-02-06 00:00:00+00:00,0.44428329731861105,0.9127130891946937
2023-02-07 00:00:00+00:00,0.5970951030790094,0.9361908813009063
2023-02-08 00:00:00+00:00,0.445134344750534,0.8923792566740341
2023-02-09 00:00:00+00:00,0.48472010084457423,0.9058516508816407
2023-02-10 00:00:00+00:00,0.8223528024233702,0.982548562190829
2023-02-11 00:00:00+00:00,0.3944671470738399,0.8118760230655074
2023-02-12 00:00:00+00:00,0.4609030964564282,0.8930297884732986
2023-02-13 00:00:00+00:00,0.41923796568064237,0.8462254909418049
2023-02-14 00:00:00+00:00,0.6595363340063537,0.9628772007964689
2023-02-15 00:00:00+00:00,0.49346903894158706,0.929615879558577
2023-02-16 00:00:00+00:00,0.45425876982079005,0.8827826991814341
2023-02-17 00:00:00+00:00,0.4497960872758194,0.8889585094107899
2023-02-18 00:00:00+00:00,0.35665361296490156,0.7543035195289002
2023-02-19 00:00:00+00:00,0.5618517715891582,0.8809806652889727
2023-02-20 00:00:00+00:00,0.45070802659821185,0.8844666624866306
2023-02-21 00:00:00+00:00,0.4661890251713987,0.8957181969444322
2023-02-22 00:00:00+00:00,0.46843694320394397,0.9137287443575199
2023-02-23 00:00:00+00:00,0.49345932422062516,0.9521314273888717
2023-02-24 00:00:00+00:00,0.4645498368230597,0.923179006341068
2023-02-25 00:00:00+00:00,0.44778350960900215,0.8966613290249006
2023-02-26 00:00:00+00:00,0.4437647921060996,0.872786012234547
2023-02-27 00:00:00+00:00,0.4450908037052246,0.8862092494180325
2023-02-28 00:00:00+00:00,0.5261016520643724,0.9284157395492898
2023-03-01 00:00:00+00:00,0.4465221566169833,0.9012732246902994
2023-03-02 00:00:00+00:00,0.4435832631880999,0.9109229832687425
2023-03-03 00:00:00+00:00,0.4914866210091971,0.9507542542241515
2023-03-04 00:00:00+00:00,0.7992982485748699,0.9871015924549497
2023-03-05 00:00:00+00:00,0.42941730745418744,0.8697949651944666
2023-03-06 00:00:00+00:00,0.4575418977881216,0.9063139552017624
2023-03-07 00:00:00+00:00,0.45136443820523253,0.8814786342617881
2023-03-08 00:00:00+00:00,0.4514536239274602,0.9081478941389283
2023-03-09 00:00:00+00:00,0.45734608979585645,0.9005451324742831
2023-03-10 00:00:00+00:00,0.4672402456808345,0.8370452830545871
2023-03-11 00:00:00+00:00,0.33520050107911536,0.5834544276688074
2023-03-12 00:00:00+00:00,0.43980181167359206,0.6817150882577543
2023-03-13 00:00:00+00:00,0.421917554734797,0.8193974356576447
2023-03-14 00:00:00+00:00,0.4498865655745456,0.9058617273411491
2023-03-15 00:00:00+00:00,0.4286398217513776,0.875729562026209
2023-03-16 00:00:00+00:00,0.46995852257770887,0.9292740531936934
2023-03-17 00:00:00+00:00,0.4409794327874025,0.9048225565141189
2023-03-18 00:00:00+00:00,0.5332731619478339,0.8482493917492949
2023-03-19 00:00:00+00:00,0.4724535723135865,0.8099023572931355
2023-03-20 00:00:00+00:00,0.46833184653905446,0.9361915833043122
2023-03-21 00:00:00+00:00,0.5081772850363895,0.922968371341016
2023-03-22 00:00:00+00:00,0.466606969226495,0.9182725336326474
2023-03-23 00:00:00+00:00,0.47475377462714025,0.9015429079263204
2023-03-24 00:00:00+00:00,0.49474961574482496,0.9431395135690106
2023-03-25 00:00:00+00:00,0.5212073495769755,0.7987321268859454
2023-03-26 00:00:00+00:00,0.4596827022766929,0.7969150560528422
2023-03-27 00:00:00+00:00,0.4473793141481644,0.9066502168799127
