date_utc,tier1_B_volume_usd,tier2_B_volume_usd,tier3_B_volume_usd,tier1_B_share,tier2_B_share,tier3_B_share
2023-02-01 00:00:00+00:00,1662489261.6138554,9816864.23488,202497079.38592798,0.8867540107527002,0.005236210503305201,0.10800977874399466
2023-02-02 00:00:00+00:00,986960300.3063958,0.0,216666334.21360096,0.8199887506643563,0.0,0.18001124933564383
2023-02-03 00:00:00+00:00,7585499994.12397,0.0,275670780.782354,0.9649326049928435,0.0,0.035067395007156416
2023-02-04 00:00:00+00:00,209612072.74817967,0.0,138584720.169963,0.6019931171435494,0.0,0.3980068828564506
2023-02-05 00:00:00+00:00,330380962.2162667,0.0,276399701.77815795,0.5444816913600635,0.0,0.4555183086399366
2023-02-06 00:00:00+00:00,1712710692.4226353,250000000.0,199883398.665508,0.7919704855758937,0.11560190653910857,0.09242760788499774
2023-02-07 00:00:00+00:00,1360301061.1887538,2000000000.0,345472970.49849397,0.3670760951847367,0.539698314818563,0.09322558999670016
2023-02-08 00:00:00+00:00,1663235976.7725933,0.0,248152262.970348,0.8701717119470602,0.0,0.12982828805293972
2023-02-09 00:00:00+00:00,2532600373.3492303,200000000.0,231017143.894443,0.8545638425381854,0.06748509172870963,0.077951065733105
2023-02-10 00:00:00+00:00,19711641349.942535,0.0,274818637.76590496,0.9862497591902261,0.0,0.01375024080977406
2023-02-11 00:00:00+00:00,465555408.682319,0.0,162558877.38640904,0.7411953827641139,0.0,0.25880461723588616
2023-02-12 00:00:00+00:00,597471553.717625,0.0,90978763.726927,0.8678499211611527,0.0,0.1321500788388473
2023-02-13 00:00:00+00:00,3831967751.771575,425195005.0,1391256649.5065525,0.6784141679550928,0.07527681186836137,0.24630902017654585
2023-02-14 00:00:00+00:00,10699624789.782944,100999001.0,311062774.75293803,0.9629163607772206,0.009089439339772193,0.027994199883007272
2023-02-15 00:00:00+00:00,3332027540.1227345,80000000.0,179908087.15348503,0.9276412179606419,0.022272114063654407,0.05008666797570371
2023-02-16 00:00:00+00:00,1575832860.571346,100000000.0,151117170.90409297,0.8625484186333813,0.05473603452593628,0.08271554684068246
2023-02-17 00:00:00+00:00,1621381907.7710607,0.0,171892677.85643,0.9041459243140489,0.0,0.09585407568595104
2023-02-18 00:00:00+00:00,439704311.83688694,0.0,48650170.84257801,0.9003793912658525,0.0,0.09962060873414755
2023-02-19 00:00:00+00:00,287942633.1000443,0.0,68994093.143766,0.8067049757815096,0.0,0.19329502421849043
2023-02-20 00:00:00+00:00,776114438.5679435,612916.276317,43815205.75414398,0.945855188793546,0.0007469646374832929,0.05339784656897075
2023-02-21 00:00:00+00:00,1150700874.5236657,5000000.0,82991173.067246,0.9289644482352358,0.004036515782695403,0.06699903598206883
2023-02-22 00:00:00+00:00,1897249573.1519413,0.0,91165620.52601199,0.9541516174208146,0.0,0.04584838257918548
2023-02-23 00:00:00+00:00,1442111294.1750975,0.0,73133697.65869701,0.9517347372518364,0.0,0.048265262748163534
2023-02-24 00:00:00+00:00,1843646776.9643426,0.0,119408926.90613897,0.9391719110819398,0.0,0.060828088918060234
2023-02-25 00:00:00+00:00,280114829.76226634,0.0,63915707.837139,0.8142150162507856,0.0,0.18578498374921437
2023-02-26 00:00:00+00:00,359552225.59263015,0.0,23856060.595484998,0.9377789644750133,0.0,0.06222103552498675
2023-02-27 00:00:00+00:00,1305527530.5509193,3000000.0,111717812.66833,0.9192267637306236,0.002112311097743115,0.07866092517163328
2023-02-28 00:00:00+00:00,935675789.2798439,0.0,68460405.548679,0.9318215936231937,0.0,0.06817840637680632
2023-03-01 00:00:00+00:00,1572522994.6222963,0.0,139227673.399414,0.9186635787557068,0.0,0.08133642124429313
2023-03-02 00:00:00+00:00,2525865872.5571156,10000000.0,280236034.244177,0.8969369561722127,0.0035510078580070405,0.09951203596978025
2023-03-03 00:00:00+00:00,5234976703.433864,400000000.0,213281175.681928,0.895134382176962,0.068396436728347,0.03646918109469112
2023-03-04 00:00:00+00:00,1040630616.1835213,3600000000.0,26637209.900246,0.2229635527594521,0.7713292088962259,0.005707238344322073
2023-03-05 00:00:00+00:00,639107939.263334,0.0,60985435.558322005,0.9128895690894696,0.0,0.08711043091053051
2023-03-06 00:00:00+00:00,2179563187.487313,5994006.0,289066652.013083,0.8807654510605354,0.0024221887342186937,0.1168123602052459
2023-03-07 00:00:00+00:00,2012955576.9641783,5994006.0,564559462.6138549,0.779155614109259,0.002320102579187565,0.21852428331155332
2023-03-08 00:00:00+00:00,1121485118.8764508,1998002.0,153444948.23746905,0.8782680450079438,0.0015646942442000234,0.12016726074785629
2023-03-09 00:00:00+00:00,1426184565.473039,500000.0,106534135.37192902,0.930189910080707,0.0003261113367091377,0.06948397858258401
2023-03-10 00:00:00+00:00,6849522135.030168,7000000.0,1884039716.3478832,0.7836478079438635,0.000800863848231492,0.2155513282079049
2023-03-11 00:00:00+00:00,3872897766.819719,124210389.62,8215181537.34603,0.3171311739182253,0.010170933767089127,0.6726978923146856
2023-03-12 00:00:00+00:00,1161735987.550262,49000000.0,2805826768.772621,0.2892363590538836,0.0121994857226777,0.6985641552234386
