entity,month,n_transfers,tier,token,volume_usd
Binance,2025-12-01 00:00:00.000 UTC,386703,2,USDT,53005205865.42644
Binance,2026-01-01 00:00:00.000 UTC,480669,2,USDT,68633383432.03352
Binance,2026-01-01 00:00:00.000 UTC,10,2,USDC,2588.541096
Tether,2023-02-01 00:00:00.000 UTC,20,2,USDT,5074623786.511197
Tether,2023-03-01 00:00:00.000 UTC,187,2,USDT,15004948157.19
Tether,2023-04-01 00:00:00.000 UTC,21,2,USDT,2774737682.507197
Tether,2023-05-01 00:00:00.000 UTC,21,2,USDT,812002497.5
Tether,2023-06-01 00:00:00.000 UTC,53,2,USDT,8547189554.690403
Tether,2023-07-01 00:00:00.000 UTC,30,2,USDT,813253947.747961
Tether,2023-08-01 00:00:00.000 UTC,18,2,USDT,784895339.454556
Tether,2023-09-01 00:00:00.000 UTC,34,2,USDT,415761278.503086
Tether,2023-10-01 00:00:00.000 UTC,35,2,USDT,705753317.738998
Tether,2023-11-01 00:00:00.000 UTC,86,2,USDT,6048696023.03626
Tether,2023-12-01 00:00:00.000 UTC,58,2,USDT,3169797414.796059
Tether,2024-01-01 00:00:00.000 UTC,112,2,USDT,7001473477.09849
Tether,2024-02-01 00:00:00.000 UTC,53,2,USDT,3389676601.36
Tether,2024-03-01 00:00:00.000 UTC,111,2,USDT,12545171729.865412
Tether,2024-04-01 00:00:00.000 UTC,114,2,USDT,7558535892.76057
Tether,2024-05-01 00:00:00.000 UTC,90,2,USDT,4439407635.092111
Tether,2024-06-01 00:00:00.000 UTC,62,2,USDT,1211206081.314573
Tether,2024-07-01 00:00:00.000 UTC,82,2,USDT,2160556188.379008
Tether,2024-08-01 00:00:00.000 UTC,150,2,USDT,8231354355.256742
Tether,2024-09-01 00:00:00.000 UTC,85,2,USDT,3274390455.990197
Tether,2024-10-01 00:00:00.000 UTC,77,2,USDT,1161262367.087797
Tether,2024-11-01 00:00:00.000 UTC,257,2,USDT,48875663491.20764
Tether,2024-12-01 00:00:00.000 UTC,147,2,USDT,20620136040.37519
Tether,2025-01-01 00:00:00.000 UTC,101,2,USDT,3886035023.831083
Tether,2025-02-01 00:00:00.000 UTC,214,2,USDT,11146582999.946848
Tether,2025-03-01 00:00:00.000 UTC,225,2,USDT,8453136575.473974
Tether,2025-04-01 00:00:00.000 UTC,220,2,USDT,19015248902.04391
Tether,2025-05-01 00:00:00.000 UTC,195,2,USDT,9723552594.732727
Tether,2025-06-01 00:00:00.000 UTC,214,2,USDT,11946960405.33934
Tether,2025-07-01 00:00:00.000 UTC,217,2,USDT,23341707673.45388
Tether,2025-08-01 00:00:00.000 UTC,235,2,USDT,26617697811.94302
Tether,2025-09-01 00:00:00.000 UTC,291,2,USDT,36095723149.709045
Tether,2025-10-01 00:00:00.000 UTC,364,2,USDT,29123823491.10076
Tether,2025-11-01 00:00:00.000 UTC,303,2,USDT,9269528399.71288
Tether,2025-12-01 00:00:00.000 UTC,324,2,USDT,8487391953.708074
Tether,2026-01-01 00:00:00.000 UTC,218,2,USDT,15306028770.00312
Bybit,2023-02-01 00:00:00.000 UTC,61162,2,USDT,857604650.90004
Bybit,2023-02-01 00:00:00.000 UTC,11369,2,USDC,269884075.358536
Bybit,2023-03-01 00:00:00.000 UTC,68438,2,USDT,1523970101.803893
Bybit,2023-03-01 00:00:00.000 UTC,16537,2,USDC,984278055.331794
Bybit,2023-04-01 00:00:00.000 UTC,65497,2,USDT,1128482774.270715
Bybit,2023-04-01 00:00:00.000 UTC,15526,2,USDC,610097144.62654
Bybit,2023-05-01 00:00:00.000 UTC,46847,2,USDT,1042662048.315037
Robinhood,2023-05-01 00:00:00.000 UTC,2,2,USDC,40.0
