date,tron,p2p_tron,p2p_tron_share
2023-02-01,251378086316.63712,244564516588.0577,97.28951324738904
2023-03-01,333430397937.81805,322921283269.7225,96.84818338906958
2023-04-01,283516257039.0963,279131470019.1761,98.4534265986322
2023-05-01,320180242151.8594,313645679968.6834,97.95909886904369
2023-06-01,328148396834.3804,319909722478.974,97.48934493208434
2023-07-01,307643241442.9615,300260841322.50684,97.60033729789465
2023-08-01,324266584192.1063,317436466799.28253,97.89367214329509
2023-09-01,314619030652.0805,306742786163.21136,97.49657721831232
2023-10-01,314799469177.3451,308706479685.46216,98.0644854618702
2023-11-01,328303141429.1947,320827862592.84045,97.72305595255278
2023-12-01,342601649103.97626,336279181877.3841,98.15457186410875
2024-01-01,360300827314.8565,349378175746.5604,96.9684633672098
2024-02-01,324226796493.76306,316727379228.85364,97.68698412777437
2024-03-01,429736205119.5789,422597550631.5357,98.33882870398206
2024-04-01,419022101149.84595,408060778234.49835,97.3840704618519
2024-05-01,381789612471.5057,376978226151.2232,98.73978071610276
2024-06-01,388301107798.43256,383271540008.4271,98.70472484136815
2024-07-01,418340241880.82056,413331724985.1438,98.80276473686612
2024-08-01,433889928510.17035,427172797510.183,98.45188132781702
2024-09-01,404160637954.9754,399585455845.48224,98.86797929342073
2024-10-01,465740130199.7883,459540448531.48035,98.66885388088664
2024-11-01,553403020304.1553,540508694159.4302,97.66999353606016
2024-12-01,587706842928.2466,574055191322.7269,97.67713243944883
2025-01-01,547642197634.3333,535867804632.97845,97.84998434156151
2025-02-01,534712096146.72784,518275095993.22473,96.92600929136401
2025-03-01,570486511597.3912,551578082768.8904,96.68556075487984
2025-04-01,588093699789.0856,566355641502.8524,96.30364033928109
2025-05-01,641947019757.2866,624346677575.213,97.25828742242186
2025-06-01,601622053482.8127,594330011276.3608,98.78793635235976
2025-07-01,657647437312.2422,644459496531.9312,97.99467921076234
2025-08-01,622464232089.8197,613098039929.414,98.49530436006575
2025-09-01,632797995085.453,625291416525.3192,98.81374804938817
2025-10-01,730910891383.4585,720713115662.9443,98.60478536566723
2025-11-01,659059764051.5453,648742556434.6779,98.43455659416335
2025-12-01,675464836360.8616,666019194913.1566,98.60160870866433
2026-01-01,644691986976.0237,634564257526.2686,98.4290592012381
